1. Âge :,2. Genre :,3. Dans quelle région êtes-vous basé(e) ?,4. Profession : ,5. A quel type d'établissement appartenez-vous ?,6. Niveau déducation  :,7. Votre moyenne l'année précédente :,1. Avez-vous déjà entendu parler de l'intelligence artificielle (IA) ?,2. Comment évalueriez-vous votre niveau de connaissance de l'IA ?,3. Avez-vous suivi une formation ou un cours sur l'IA ?,"1. Êtes-vous satisfait(e) de la qualité de l’enseignement dans votre établissement (lycée, collège ou faculté) ?     ",2. À quel niveau l’IA est-elle utilisée dans votre environnement éducatif ?,"3. Sur une échelle de 1 à 5, pensez-vous que l’IA améliore la qualité de l’éducation?",4. Quels outils d’IA utilisez-vous pour préparer vos cours ou évaluer les élèves ?(Pour Enseignant),5. Comment percevez-vous l’impact de l’IA sur la méthode d’enseignement ? ,"1. Quels avantages voyez-vous dans l’utilisation de l’IA dans l’éducation ?",2. Avez-vous déjà utilisé un outil d’IA pour compléter un projet académique?,"3. Quels risques pensez-vous que l’IA peut apporter dans l’éducation ?",4.  Avez-vous déjà utilisé un outil d’IA pour obtenir des réponses pendant un examen?
18-25 ans,Féminin,Nabeul ,Étudiant(e),Public,Universitaire (Master),13.44,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Dépendance à la technologie.,Non
18-25 ans,Féminin,Monastir ,Élève,Public,Bac,15,Oui,Connaissance intermédiaire,Non,Non,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Ingénieurie,13.37,Oui,Connaissance avancée,Oui,Non,Fortement intégrée dans les programmes,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,Meilleure gestion administrative,Oui,Dépendance à la technologie.,Oui
18-25 ans,Féminin,Sousse,Étudiant(e),Public,Ingénieurie,10.09,Oui,Connaissance intermédiaire,Oui,Non,Utilisée pour certaines tâches,3,Correction automatique.,Négatif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,Dépendance à la technologie.,Oui
18-25 ans,Masculin,Tunis,Étudiant(e),Privé,Ingénieurie,17.10,Oui,Connaissance avancée,Oui,Moyennement,Utilisée pour certaines tâches,5,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,Amélioration de l’apprentissage personnalisé.,Non,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Universitaire (Licence),13,Oui,Connaissance de base,Oui,Moyennement,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Neutre,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Sfax,Étudiant(e),Public,Doctorat,17.29,Oui,Connaissance avancée,Non,Moyennement,Utilisée pour certaines tâches,2,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Ingénieurie,11 ( 2eme prépa) ,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Neutre,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Ingénieurie,16,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Non,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Manouba,Étudiant(e),Public,Ingénieurie,10.22,Oui,Connaissance de base,Oui,Moyennement,Très peu ou pas utilisée,4,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,Automatisation des tâches répétitives pour les enseignants,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis ,Étudiant(e),Public,Ingénieurie,14.2,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Universitaire (Licence),10.42,Non,Connaissance de base,Non,Non,Très peu ou pas utilisée,3,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Automatisation des tâches répétitives pour les enseignants,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Oui
18-25 ans,Féminin,Mhadia,Étudiant(e),Public,Ingénieurie,10,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,2,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Neutre,Meilleure gestion administrative,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Oui
18-25 ans,Féminin,nabeul,Étudiant(e),Public,Ingénieurie,10.71,Oui,Connaissance de base,Non,Non,Utilisée pour certaines tâches,3,Autre,Neutre,Accès à des ressources éducatives innovantes,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Gafsa ,Étudiant(e),Public,Universitaire (Master),13.98,Oui,Connaissance de base,Non,Moyennement,Utilisée pour certaines tâches,3,Correction automatique.,Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Dépendance à la technologie., Remplacement partiel des enseignants.",Non
18-25 ans,Féminin,Sfax,Étudiant(e),Public,Universitaire (Licence),14.87,Non,Connaissance de base,Non,Oui,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Remplacement partiel des enseignants.,Non
18-25 ans,Féminin,Siliana,Étudiant(e),Public,Doctorat,14.23,Oui,Connaissance intermédiaire,Oui,Moyennement,Fortement intégrée dans les programmes,3,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Non
12-18 ans,Masculin,Tunis,Élève,Public,Secondaire,15,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,2,Génération de contenu pédagogique (ex: ChatGPT),Neutre,"Automatisation des tâches répétitives pour les enseignants, Meilleure gestion administrative",Oui,Dépendance à la technologie.,Non
12-18 ans,Féminin,2ans,Élève,Public,Secondaire,12,Non,Aucune connaissance,Non,Oui,Très peu ou pas utilisée,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,Automatisation des tâches répétitives pour les enseignants,Oui,Perte de créativité chez les élèves.,Oui
12-18 ans,Féminin,Nabeul ,Élève,Public,Secondaire,12,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,5,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants",Non,Perte de créativité chez les élèves.,Oui
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,15:84,Non,Connaissance de base,Non,Non,Utilisée pour certaines tâches,3,Autre,Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,10.09,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,4,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Oui
